sample_id,record_id,group_id,dataset,source_index,true_label_original,true_label_stage1,raw_feature_hash,scaled_feature_hash,raw_output,interpreted_probability,threshold,predicted_label,correct
stage2_multiclass:V:166,,,stage2_multiclass,166,V,1,c04e62b2a92591ac5d85aaa486c4db23c402c94c760aa9d38d1f232dbc05dd8e,fe0c8ac56dd3c640cc9100169219f868f788f5832610581fab2ed8deeb99c087,"[0.8243659138679504,0.17563413083553314]",0.17563413083553314,0.5800000000000001,0,False
stage2_multiclass:S:5039,,,stage2_multiclass,5039,S,1,5be9d4e069052fdd0ba229de53489544acd591724bc72c4b067e6a8191655e94,59b64d0af5059feaaed233b939f1609ed25a0ec67f4978e1196c3aea4a7d18c1,"[0.9154908657073975,0.08450910449028015]",0.08450910449028015,0.5800000000000001,0,False
stage2_multiclass:F:4550,,,stage2_multiclass,4550,F,1,235615b33d56eeb091a690ff27339e6fa9cf6303cdda6bd9b67cf0a6308d1a10,8ac0161e00512fca844ba48f8d6ed1bc4ab815ccdb239f5dce2b01ba11ba83e0,"[0.507088840007782,0.4929112493991852]",0.4929112493991852,0.5800000000000001,0,False
stage2_multiclass:V:168,,,stage2_multiclass,168,V,1,0e59f32da274905f2549bec46987a3e572f8f338db911967a0eb73eee8dc0745,33e76ccef6b837118fb45bea3289741aa76e289587be670e70eb64813ea18ab6,"[0.8247315287590027,0.1752685308456421]",0.1752685308456421,0.5800000000000001,0,False
stage2_multiclass:S:2552,,,stage2_multiclass,2552,S,1,e015c6636ab68f1a42fa8a2b54ba54dd89a0cf74b0fec4b0cf0f2750cfe216d7,b580df4327ce0d70006952a20fb44e2e15433d231633f57bd110f01d33f86fa0,"[0.8211288452148438,0.17887119948863983]",0.17887119948863983,0.5800000000000001,0,False
stage2_multiclass:V:637,,,stage2_multiclass,637,V,1,4f0b39559d594aaec17410e213ddcac1d7f763e862c1a1292a12cc9449c0d297,b53cb82174c3f61b9ae18c62c60a6bbd7dababf0c6b7b2e8f585d29e6a78adec,"[0.49864697456359863,0.5013530254364014]",0.5013530254364014,0.5800000000000001,0,False
stage2_multiclass:V:447,,,stage2_multiclass,447,V,1,d0c074b6c717fac95d90c9568be98f2741e9da27c04a4cdb9b7206e8a577798c,752962c1c742803cd0343483f04dd66ed8bcda9ec96d3fa2d9ddbabe9232c17f,"[0.8866109848022461,0.11338896304368973]",0.11338896304368973,0.5800000000000001,0,False
stage2_multiclass:S:3570,,,stage2_multiclass,3570,S,1,e9bf194532d7cb9096616b16e08221bb81adb7e4e20d1fd19080b1b6e10e30e2,6c4650da39bf46496f81b555460e260458a74a6e13ab791482b33bd8b1faa1fa,"[0.6305436491966248,0.36945635080337524]",0.36945635080337524,0.5800000000000001,0,False
stage2_multiclass:F:5859,,,stage2_multiclass,5859,F,1,b10c50af798798b652f0a047b3a5a19a1c42d74feae04a5a6436e2874fa865e2,f64beb3eddca65e56531947408e40d27df015113cf4bb42b0d5320daf03211ce,"[0.779779851436615,0.22022020816802979]",0.22022020816802979,0.5800000000000001,0,False
stage2_multiclass:V:657,,,stage2_multiclass,657,V,1,54676358ae97dfa0a70d30a4522e7925e85496ab2aa6a99f70598c039ab238a5,04332130379c3742e66de20ad3823a1615054b7bdf9aa205e2ef8d2d0626bbb6,"[0.5354682207107544,0.4645317792892456]",0.4645317792892456,0.5800000000000001,0,False
stage2_multiclass:S:5035,,,stage2_multiclass,5035,S,1,98784f0ffb39613ec20b4c4d203662df557481302aa3c0307ac92fecae86c751,ef1e504eca17cab048bb1f8a12fae31d1ab6c3a419581ed9a07492c62fe4fe32,"[0.916737973690033,0.08326206356287003]",0.08326206356287003,0.5800000000000001,0,False
